FrameTime,GPUTime,GameThreadTime,GPU/LumenReflections,GPU/LumenScreenProbeGather,GPU/ShadowDepths,GPU/TemporalSuperResolution,GPUMem/LocalUsedMB,GPUMem/LocalBudgetMB
45071.9414,0,0,1.9210,0.1427,26.4514,19.9065,0,0
1142.1520,0,0,3.8020,0.030200,37.4023,7.9524,0,0
37.0512,305.8244,503.6886,4.4298,0.020700,12.2954,6.5710,3167.7578,5153
15.7697,305.8244,24.6443,3.7457,0.020500,4.1678,6.6857,0,0
91.1847,305.8244,10.3604,3.7909,0.024000,3.5722,6.4615,3678.8594,5153
78.7408,82.7368,7.9331,3.6916,0.025100,3.8723,3.1109,3750.1719,5153
49.6588,53.1874,7.0475,1.9417,0.011100,2.0155,3.2594,3750.2344,5153
44.2080,40.9490,5.6596,1.7203,0.010200,2.1788,3.0505,3766.2344,5153
45.7238,44.2125,6.0999,1.8228,0.020800,2.4870,2.9911,3796.4844,5153
31.1333,33.0177,6.7984,1.9445,0.012300,2.0510,2.9870,3794.6719,5153
21.3038,22.3710,4.3103,1.8186,0.011900,2.8841,3.0128,3560.5469,5153
23.2829,21.5548,6.4681,1.7910,0.010000,1.1774,2.9909,3560.7969,5153
22.1391,20.2330,4.8408,1.5360,0.013100,1.0013,2.9830,3553.5469,5153
20.1983,20.0409,4.6842,1.7378,0.011600,1.0681,3.0321,3537.7969,5153
21.2501,20.4390,4.1216,1.7778,0.009700,0.9049,2.9911,3537.7969,5153
23.7814,19.7853,5.6690,2.0849,0.009300,1.2649,3.0085,3537.7969,5153
24.7221,20.1761,7.3484,1.8238,0.010200,1.2886,3.0322,3537.7969,5153
22.3774,19.4937,7.2149,1.7664,0.012400,1.0886,2.9614,3538.0469,5153
27.3405,19.5287,8.5940,1.8986,0.009500,1.0614,2.9481,3538.0469,5153
18.5462,20.8183,7.5805,1.8228,0.010200,1.0150,2.9604,3602.0469,5153
18.0647,19.3304,5.6915,1.7347,0.010500,0.8438,2.9512,3602.0469,5153
20.7209,20.4296,9.1221,1.7663,0.010600,0.9035,3.0576,3602.0469,5153
20.1157,19.6672,4.3741,1.7971,0.010600,1.1236,2.9992,3602.0469,5153
20.5295,19.7394,6.8786,1.7101,0.011800,1.0156,2.9850,3602.2969,5153
18.1388,19.2463,3.6828,1.9558,0.010300,1.0016,3.0240,3602.2969,5153
24.1737,20.1767,3.5910,1.9927,0.012700,0.9869,3.0208,3602.2969,5153
21.6707,19.3202,3.5169,1.8381,0.010500,1.0674,3.0536,3602.2969,5153
21.8244,20.4440,7.0792,2.0040,0.012500,0.9526,3.0546,3602.2969,5153
22.9233,19.8068,3.4850,1.7347,0.011000,1.0237,3.0403,3602.2969,5153
18.4420,20.5337,6.7148,1.8331,0.009500,0.9436,2.9820,3602.2969,5153
21.9085,19.8483,7.1809,1.9220,0.012400,1.1910,3.0219,3602.2969,5153
22.3028,20.6195,6.8897,1.8801,0.009800,0.9335,3.0321,3602.2969,5153
20.4074,20.0705,4.7142,1.5852,0.014100,1.1378,3.0053,3602.2969,5153
20.8333,20.2707,7.4858,1.9856,0.009900,0.9499,3.0034,3602.2969,5153
22.0359,19.8566,4.4789,1.6630,0.010900,1.0669,3.0116,3602.2969,5153
20.1231,20.2642,5.3982,1.8750,0.009000,0.8845,2.9993,3602.2969,5153
21.9669,20.0954,5.2073,1.7080,0.013900,0.9716,2.9859,3602.2969,5153
20.6064,20.0619,5.5608,1.8197,0.010000,0.9767,2.9993,3602.5469,5153
21.8283,20,5.2306,1.7367,0.015800,0.8260,3.0166,3602.7969,5153
20.1631,19.9360,5.8313,1.9311,0.010400,0.9383,3.0126,3602.7969,5153
22.6675,19.7725,5.0914,1.8595,0.011400,1.0697,3.0228,3602.7969,5153
18.7129,19.4157,5.5521,1.9621,0.009700,0.9396,3.0371,3602.7969,5153
20.9026,19.8684,6.5567,1.7468,0.011000,1.2070,3.0525,3602.7969,5153
19.3448,19.7053,6.8720,1.8933,0.010600,0.9333,3.0443,3602.7969,5153
23.5752,20.0028,4.6563,1.9661,0.010200,1.1314,3.0484,3602.7969,5153
19.3059,19.6550,5.6534,1.9108,0.009900,0.9611,3.0444,3602.7969,5153
20.8401,20.6053,6.9827,1.7469,0.010200,1.0396,3.0832,3602.7969,5153
20.1981,19.8157,6.3949,1.9232,0.010300,0.9623,3.0474,3602.7969,5153
21.5825,19.8695,5.5338,1.8862,0.011500,0.9621,3.0597,3602.7969,5153
18.9794,19.8338,5.8172,1.9570,0.008700,0.8948,3.0310,3602.7969,5153
23.9418,20.2932,4.1755,1.9355,0.009600,1.1264,3.1202,3602.7969,5153
19.1702,19.8609,6.3500,2.3437,0.010000,0.7731,3.1028,3602.7969,5153
23.4443,20.6096,6.1443,1.9919,0.010100,0.9842,3.0976,3602.7969,5153
19.6185,19.7211,6.2567,1.8914,0.009700,1.0369,3.0996,3602.7969,5153
23.0332,20.7639,8.1672,2.0213,0.010000,0.9104,3.0914,3602.7969,5153
20.8957,20.6898,4.5049,2.0471,0.009600,1.0976,3.1550,3602.7969,5153
21.2817,20.9588,6.5858,1.9485,0.009800,0.9785,3.1664,3602.7969,5153
20.8389,20.1128,4.1860,1.7080,0.014200,1.1786,3.2440,3602.7969,5153
21.0532,20.4755,7.1859,1.7951,0.011000,1.0248,3.2060,3602.7969,5153
24.5293,20.6778,4.2898,1.8544,0.011300,0.9627,3.1366,3602.7969,5153
23.5408,20.4864,4.7928,2.0092,0.010100,1.2132,3.1326,3602.7969,5153
20.1551,21.2241,6.7683,2.0059,0.010800,0.9344,3.1447,3602.7969,5153
19.1840,20.5828,5.6881,1.9416,0.010000,1.0871,3.1395,3602.7969,5153
22.7821,21.1005,9.6230,1.9938,0.009400,0.9149,3.1089,3602.7969,5153
18.1750,20.3249,4.1713,1.6836,0.011400,1.1446,3.1211,3602.7969,5153
24.2022,20.7097,6.8995,2.0223,0.010800,0.9642,3.1079,3602.7969,5153
23.7037,20.4713,4.9228,1.6773,0.010300,0.9114,3.1611,3602.7969,5153
18.9554,20.3927,4.5626,2.0070,0.011500,0.9809,3.0802,3602.7969,5153
23.5138,20.8424,4.1324,1.9897,0.011200,0.8469,3.0781,3602.7969,5153
19.5805,20.4459,6.8705,1.9937,0.009500,0.9468,3.0588,3602.7969,5153
22.8101,20.5282,6.2138,1.6424,0.010600,0.9608,3.0618,3602.7969,5153
19.1374,20.4773,5.9046,1.8206,0.009200,1.1411,3.0433,3602.7969,5153
23.4467,20.3653,7.1586,1.9638,0.009600,0.8438,3.0782,3602.7969,5153
18.6026,20.0465,4.9632,1.7972,0.010000,1.4894,3.0966,3602.7969,5153
23.1780,20.1393,8.0274,1.7613,0.010400,0.9103,3.0588,3602.7969,5153
