FrameTime,GPUTime,GameThreadTime,GPU/LumenReflections,GPU/LumenScreenProbeGather,GPU/ShadowDepths,GPU/TemporalSuperResolution,GPUMem/LocalUsedMB,GPUMem/LocalBudgetMB
24.7450,25.2631,6.2914,2.2149,0.011300,1.1432,3.6354,3671.9219,5153
28.0415,25.0961,9.6146,2.1667,0.012500,1.0514,3.6568,3671.9219,5153
27.3756,25.6183,8.0656,2.1668,0.013200,1.1434,3.7080,3671.9219,5153
26.2868,25.3544,6.3481,2.4514,0.010600,1.0405,3.8021,3672.7344,5153
26.1652,25.3083,7.3335,2.1934,0.010700,1.0532,3.7324,3672.7344,5153
26.2750,24.9309,7.8810,2.2590,0.010000,1.1051,3.6814,3672.7344,5153
25.7809,25.1170,4.9712,2.2713,0.009800,0.9801,3.7622,3672.7344,5153
27.9705,25.8586,4.7927,2.2161,0.010600,1.0924,3.6567,3672.7344,5153
26.0979,25.4663,5.1620,2.1882,0.013200,0.9848,3.6659,3672.7344,5153
22.5699,25.1928,4.8075,2.2568,0.010600,1.1694,3.6588,3672.7344,5153
27.7733,25.7360,7.9376,2.1422,0.010100,1.2317,3.6095,3672.7344,5153
27.0283,25.2186,7.7848,2.2047,0.010200,1.1645,3.6475,3672.7344,5153
27.6691,25.5894,8.5471,2.2271,0.011200,1.1186,3.6291,3672.7344,5153
26.0024,25.6172,7.2399,2.2988,0.010100,1.0485,3.6095,3672.7344,5153
27.5976,25.4414,8.1342,2.2211,0.010200,1.0165,3.5727,3673.6094,5153
25.3587,25.5051,8.0950,2.1156,0.009900,1.0343,3.6373,3673.7344,5153
26.4356,25.3158,6.6065,2.1985,0.010000,0.9623,3.5811,3673.7344,5153
24.8813,25.3894,5.3737,2.2947,0.013000,1.0262,3.5174,3673.7344,5153
27.8269,25.0036,4.7886,2.0173,0.011300,1.0182,3.7028,3673.7344,5153
24.4589,25.2578,5.1339,2.5304,0.011400,1.2230,3.6864,3673.7344,5153
27.0789,25.6965,6.9536,2.2568,0.014400,1.1274,3.6004,3673.7344,5153
26.3914,25.3030,7.7356,2.4002,0.009600,1.1887,3.6660,3674.7344,5153
25.9497,25.7624,7.6466,2.2754,0.011000,0.9685,3.7684,3674.7344,5153
27.3752,25.8829,5.1110,2.5171,0.009700,1.0045,3.7161,3674.7344,5153
25.4598,25.2064,8.9383,2.5007,0.010000,0.9695,3.6567,3674.7344,5153
27.9473,25.1350,8.2164,2.5416,0.010900,1.0187,3.7673,3674.7344,5153
25.2554,25.6023,5.3860,2.4391,0.010900,1.0196,3.6967,3674.7344,5153
26.2985,25.3421,4.5500,2.3276,0.010300,0.9695,3.5943,3674.7344,5153
24.4032,25.1233,5.9399,2.3338,0.011800,1.0865,3.7233,3674.7344,5153
27.3839,25.7558,7.9263,2.2353,0.010300,0.9388,3.5942,3674.7344,5153
30.9616,25.9775,6.8363,2.3625,0.012200,1.0248,3.6412,3674.7344,5153
24.6030,25.4954,5.2370,2.4710,0.009900,1.0671,3.6464,3674.7344,5153
24.6489,26.2411,7.6527,2.2457,0.009500,1.2777,3.6260,3675.7344,5153
28.9138,25.4835,8.5237,2.3275,0.009700,1.0408,3.6588,3676.7344,5153
25.2803,25.4973,7.8416,2.3070,0.009800,1.0550,3.7058,3676.7344,5153
26.8687,25.3514,6.8094,2.4576,0.011200,0.9864,3.6065,3676.7344,5153
26.4416,25.3869,6.8150,2.5078,0.010300,0.9405,3.5534,3676.7344,5153
27.1093,25.2541,5.7212,2.3622,0.013200,0.8166,3.7150,3676.7344,5153
25.5759,25.3154,5.5318,2.3551,0.009700,1.1287,3.4130,3676.7344,5153
1266.2021,26.3462,6.0822,2.5967,0.009400,0.9949,3.4140,3676.7344,5153
8.2076,24.0411,565.8805,2.6224,0.010000,0.9957,3.6352,3676.7344,5153
8.6366,24.0411,5.6460,2.7792,0.010200,1.0531,3.7028,0,0
16.9646,24.0411,6.6164,2.7280,0.010500,1.1076,3.6198,3676.7344,5153
24.0607,23.4229,5.6244,2.7187,0.010200,1.2400,3.6301,3676.7344,5153
24.1540,24.6908,8.0603,2.5169,0.010100,1.0802,3.5154,3676.7344,5153
27.2024,25.5131,5.9235,2.1739,0.012800,1.2588,3.5858,3676.7344,5153
28.0624,25.1856,6.7005,2.4434,0.014100,0.9362,3.5379,3676.7344,5153
24.0609,25.1711,6.6079,2.4014,0.010100,1.0989,3.7693,3676.7344,5153
25.9734,24.9184,6.7889,2.3839,0.011800,1.0340,3.6628,3677.6094,5153
28.8025,23.3608,5.9332,2.3717,0.013200,1.1017,3.6824,3677.6094,5153
20.4436,23.2628,4.6845,2.2866,0.010000,1.1948,3.6495,3677.6094,5153
25.3015,24.1193,4.6670,2.2713,0.010600,0.9705,3.7428,3677.8594,5153
26.2752,24.3709,8.1151,2.4289,0.015500,0.9946,3.5861,3677.8594,5153
24.4123,25.1584,7.2214,1.9293,0.010300,1.1512,3.6323,3677.8594,5153
25.6471,25.3190,4.4991,2.3284,0.014900,1.0978,3.6024,3677.8594,5153
26.3355,25.4680,6.9930,2.2948,0.016700,0.9902,3.8165,3677.8594,5153
26.3819,25.1616,6.3616,2.3900,0.018100,1.0778,3.6577,3677.8594,5153
24.7328,23.4538,5.7288,2.3654,0.010100,1.0192,3.6373,3677.9844,5153
23.7697,23.5943,5.9737,2.2691,0.010400,1.2231,3.7550,3678.9844,5153
26.8185,24.8438,5.2007,2.3389,0.010200,1.1627,3.7080,3678.9844,5153
24.8622,24.4111,6.9752,2.3541,0.042100,0.9535,3.5972,3678.9844,5153
23.1155,23.8521,8.4004,2.4053,0.010400,1.2226,3.6671,3678.9844,5153
30.2730,24.4549,5.0415,2.4185,0.011200,0.9813,3.7509,3678.9844,5153
23.8590,24.8428,5.4372,2.4382,0.009600,1.0332,3.7008,3678.9844,5153
26.1835,24.2036,8.4767,2.4434,0.011400,1.1280,3.6332,3678.9844,5153
23.4225,25.5447,5.0526,2.3029,0.010500,1.3006,3.5984,3678.9844,5153
29.4074,25.9733,8.3311,2.4760,0.010200,1.1114,3.6178,3678.9844,5153
27.8392,25.3205,8.6685,2.3962,0.010800,1.0215,3.5892,3679.2344,5153
26.0596,25.1757,7.2939,2.2988,0.011500,1.0405,3.6801,3679.2344,5153
23.3900,25.1417,6.5949,2.1535,0.009700,1.1772,3.7938,3679.2344,5153
26.0589,24.2833,6.7851,2.5570,0.013500,0.9964,3.6566,3679.2344,5153
24.7787,23.8809,8.6823,2.4607,0.010800,1.0855,3.7223,3679.2344,5153
26.4499,25.5368,9.0910,2.1504,0.011400,1.0629,3.6260,3679.2344,5153
27.7822,25.5730,5.2508,2.3592,0.011200,0.9119,3.6392,3679.4844,5153
26.7375,25.3572,9.4681,2.2407,0.011600,1.0811,3.8482,3679.4844,5153
26.3746,25.3227,9.0806,2.5128,0.009800,1.2047,3.9108,3679.4844,5153
21.7314,24.3261,7.7381,2.4821,0.011100,1.2948,3.7018,3679.4844,5153
26.1928,23.8065,8.5127,2.2129,0.011300,1.2914,3.7344,3679.4844,5153
26.4590,25.8725,6.1979,2.4247,0.010400,1.3867,3.8227,3679.4844,5153
27.4304,26.3349,6.8729,2.3818,0.016900,0.9584,3.7274,3679.4844,5153
27.0112,26.2747,8.8734,2.5046,0.010500,1.3815,3.8185,3679.4844,5153
31.2704,25.9662,8.4129,2.6317,0.010000,1.0199,3.8604,3679.4844,5153
22.1848,25.3272,6.3112,2.4608,0.011400,1.4814,3.7919,3679.4844,5153
25.5783,24.7496,9.0386,2.5209,0.010500,1.2926,3.7110,3679.4844,5153
24.3983,26.4197,6.8953,2.3429,0.010300,1.1815,3.9209,3679.4844,5153
29.8790,26.5665,7.0111,2.5005,0.011200,0.9451,3.6752,3679.4844,5153
25.8460,26.1654,6.0898,2.2487,0.010900,1.0548,3.6514,3679.4844,5153
27.2987,26.1750,6.8437,2.4033,0.016500,0.8914,3.7253,3679.4844,5153
27.0076,26.5813,6.6038,2.4423,0.014100,1.1200,3.8289,3679.6094,5153
27.0645,24.5751,5.4742,2.6471,0.010000,1.1258,3.7234,3679.6094,5153
23.1896,23.9344,6.0305,2.4034,0.009200,1.0542,3.6997,3680.5469,5153
27.3493,24.4783,9.8405,2.1781,0.015500,1.0351,3.7602,3681.5469,5153
24.9626,25.1946,6.1016,2.2437,0.013900,1.1742,3.6024,3681.5469,5153
27.8035,26.1619,7.4860,2.2733,0.012300,1.1847,3.6055,3681.5469,5153
25.6587,25.5481,7.0156,2.4166,0.011000,0.9278,3.7990,3681.5469,5153
28.0956,25.8814,6.2542,2.6389,0.010600,1.1914,3.7447,3681.5469,5153
25.4209,25.4238,8.8579,2.2221,0.010800,1.0410,3.6912,3681.5469,5153
27.0948,23.7129,5.3942,2.4319,0.016200,1.0337,3.6976,3681.5469,5153
25.0725,24.6049,7.1181,2.0775,0.012600,1.1653,3.7068,3681.5469,5153
23.1715,25.0711,7.7385,2.4279,0.013200,0.9760,3.6916,3681.5469,5153
26.7706,24.4976,10.1963,2.1075,0.014000,0.7553,4.0876,3681.5469,5153
24.6153,24.2447,6.9501,2.2384,0.009900,1.1820,3.7848,3681.5469,5153
25.0748,24.2975,6.3701,2.2037,0.011100,1.0606,3.7960,3681.5469,5153
26.0101,25.1258,9.1834,2.1638,0.011700,0.7934,4.0725,3681.5469,5153
27.8278,24.2829,7.2147,2.2015,0.010300,1.0778,3.6229,3681.5469,5153
23.9138,24.4872,8.2090,2.4524,0.024100,0.9839,3.7428,3681.5469,5153
27.1709,24.7537,9.0045,2.5383,0.009800,1.2401,3.6363,3681.5469,5153
25.7322,24.8971,8.4654,2.5549,0.010100,1.2130,3.6506,3681.5469,5153
23.9894,24.1413,6.9583,2.2753,0.014100,0.9469,3.6239,3681.5469,5153
25.3482,25.2426,9.7721,2.3551,0.010500,1.1664,3.6402,3681.5469,5153
24.3105,24.3161,6.6013,2.4677,0.011100,0.9686,3.6742,3681.5469,5153
27.9228,24.2096,7.5407,2.2703,0.014900,0.9247,3.7263,3681.5469,5153
26.4505,24.0483,8.7744,2.2200,0.012200,1.2043,3.6996,3681.5469,5153
21.2357,24.1961,9.6622,2.4453,0.012400,1.0446,3.7212,3681.5469,5153
28.3561,24.4002,9.4414,2.2232,0.010300,1.0312,3.6495,3681.5469,5153
25.8552,24.4581,7.7949,2.4945,0.013600,1.0910,3.8625,3681.5469,5153
24.4624,24.4942,6.3720,2.4586,0.022400,1.0972,3.7110,3681.5469,5153
26.5430,24.7339,9.4376,2.2733,0.016900,1.1276,3.7223,3681.5469,5153
27.6989,24.2586,7.1099,2.4086,0.010900,1.1331,3.9404,3681.5469,5153
25.0553,25.2101,8.4735,2.6040,0.010200,1.2333,3.8430,3681.5469,5153
23.2788,24.9019,7.1247,2.4914,0.010200,1.0131,3.7274,3681.5469,5153
27.0799,24.6777,5.2870,2.3224,0.010900,1.1623,3.8011,3681.5469,5153
28.9298,26.4548,6.4489,2.2108,0.011100,1.0723,3.6198,3681.5469,5153
26.3472,26.2559,6.1303,2.3030,0.015200,0.9678,3.7038,3681.5469,5153
26.8507,26.1954,7.2231,2.3900,0.010500,0.9911,3.9598,3681.5469,5153
28.6503,26.6738,9.3184,2.3695,0.011700,1.0163,3.6966,3681.5469,5153
24.6766,24.5131,8.8068,2.3983,0.011300,1.0340,3.6189,3681.5469,5153
24.5327,24.4805,8.3629,2.1761,0.009500,1.2021,3.8442,3681.5469,5153
27.4800,25.8378,8.8748,2.4382,0.011300,1.0187,3.7756,3681.5469,5153
26.7664,25.4449,10.1534,2.5354,0.010900,1.1282,3.7081,3681.5469,5153
26.8652,24.6479,8.4030,2.4782,0.010500,1.2691,3.6935,3681.5469,5153
22.1721,24.7291,7.9381,2.6603,0.010600,1.0354,3.7950,3681.5469,5153
27.8001,24.7256,9.8263,1.9199,0.013700,1.0655,3.7366,3681.5469,5153
26.8448,24.6251,8.0281,2.4596,0.010400,1.4101,3.7550,3681.5469,5153
27.7245,24.4555,6.7772,2.5016,0.010300,1.0153,3.8451,3681.5469,5153
21.1496,25.1239,6.8272,2.4771,0.014400,1.1077,3.7079,3681.5469,5153
28.6197,24.7222,5.5214,2.1821,0.010300,1.3213,3.6700,3681.5469,5153
24.7694,26.0308,6.4622,2.2980,0.010300,0.9950,3.8114,3681.5469,5153
33.2128,26.1665,7.3182,2.2548,0.009800,1.0240,3.7068,3681.5469,5153
21.5482,25.9917,6.0226,2.4914,0.011100,1.0888,3.6853,3681.5469,5153
26.1295,25.7608,5.9536,2.4301,0.010100,1.2739,3.8666,3681.5469,5153
31.9999,25.7856,6.8791,2.3306,0.010400,1.3183,3.7919,3681.5469,5153
22.0540,25.3277,5.2680,2.4403,0.010500,1.0052,3.8216,3681.5469,5153
26.6662,25.2311,7.4274,2.4954,0.015500,1.0587,3.7252,3681.5469,5153
28.1581,26.0487,4.8810,2.4873,0.013700,1.0497,3.6824,3681.5469,5153
25.8047,25.9853,6.4409,2.3049,0.010500,1.3322,3.7426,3681.5469,5153
26.5977,26.2026,7.3085,2.1881,0.010300,1.1231,3.7507,3681.5469,5153
27.3226,25.9500,6.8721,2.2743,0.025200,0.8678,3.5963,3681.5469,5153
26.2214,25.3947,7.4693,2.3297,0.010600,0.9685,3.7253,3681.5469,5153
27.4205,24.8907,6.0235,2.4075,0.013100,0.9559,3.7161,3681.5469,5153
23.2444,24.6770,5.7870,2.5006,0.015300,1.0104,3.7110,3681.5469,5153
24.5046,24.0584,8.0417,2.3551,0.009800,1.3199,3.6546,3681.5469,5153
23.7113,24.4215,4.7893,2.1718,0.012300,0.9475,3.8442,3681.5469,5153
29.1372,24.6828,4.6804,2.2793,0.012100,1.0116,3.7406,3681.5469,5153
26.2246,24.6843,8.0699,2.5529,0.014400,1.0058,3.6476,3681.5469,5153
22.7555,24.7149,4.8597,2.2363,0.017400,1.0894,3.6126,3681.5469,5153
27.5149,25.0493,6.3983,2.3490,0.011100,1.2450,3.8186,3681.5469,5153
26.2316,24.5380,5.3844,2.2303,0.015000,1.0267,3.8829,3681.5469,5153
27.9965,24.5717,6.9420,2.4925,0.011800,1.0803,3.6814,3681.5469,5153
21.5171,24.1583,6.5420,2.4698,0.012400,1.0206,3.8134,3681.5469,5153
26.6526,24.8173,5.1938,2.3419,0.009900,1.0155,3.5900,3681.5469,5153
30.8721,26.6456,7.6680,2.3224,0.011100,1.0448,3.7252,3681.5469,5153
37.6704,25.9579,5.1002,2.7442,0.010600,1.1806,3.7642,3681.5469,5153
17.1756,25.9183,7.0265,2.3880,0.014500,1.0817,3.6639,3681.5469,5153
27.1825,24.8851,7.9713,2.4464,0.010600,1.1565,3.7653,3681.5469,5153
26.7052,25.2186,7.0718,2.5251,0.013900,1.0825,3.7857,3681.5469,5153
28.1053,25.8377,10.9580,2.4085,0.010000,1.4894,3.6824,3681.5469,5153
24.3006,25.8600,8.2685,2.6070,0.010000,1.2747,3.7552,3681.5469,5153
26.3687,25.6610,9.2836,2.5416,0.010600,0.9882,3.6589,3681.5469,5153
30.5336,25.8334,7.4323,2.6634,0.011800,1.2138,3.6781,3681.5469,5153
25.2897,25.3763,11.6381,2.4822,0.010200,1.2594,3.7959,3681.5469,5153
27.5787,25.8966,7.1400,2.4186,0.010500,1.0590,3.6988,3681.5469,5153
25.5900,25.7416,9.2164,2.5047,0.010500,1.2776,3.6322,3681.5469,5153
25.2834,25.4884,11.0299,2.4093,0.010400,1.1835,3.7407,3681.5469,5153
24.7431,25.5621,7.0536,2.3387,0.010400,1.0644,3.6146,3681.5469,5153
29.2780,25.3858,5.2625,2.1861,0.010800,1.1283,3.6771,3681.5469,5153
25.7424,25.5913,5.4776,2.4012,0.015700,0.9206,3.7254,3681.5469,5153
24.6303,24.2034,8.7829,2.4207,0.011600,1.0473,3.7171,3681.5469,5153
25.0510,24.5798,6.9629,2.2057,0.009900,1.1662,3.6812,3681.5469,5153
24.2037,23.9309,5.5686,2.2446,0.012000,1.0896,3.8165,3681.5469,5153
25.6581,24.2925,6.7254,1.9845,0.010600,1.2057,3.7593,3681.5469,5153
